document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Algemeen Dagblad,de,de,"pd(type=d-p,subtype=art-def)",4630,240,248,83680
Algemeen Dagblad,een,een,"pd(type=indef,subtype=art-indef)",2174,223,248,83680
Algemeen Dagblad,van,van,adp(type=pre),1957,233,248,83680
NRC,de,de,"pd(type=d-p,subtype=art-def)",1918,45,53,35488
Algemeen Dagblad,in,in,adp(type=pre),1882,227,248,83680
Algemeen Dagblad,en,en,conj(type=coor),1797,215,248,83680
De Volkskrant,de,de,"pd(type=d-p,subtype=art-def)",1797,55,57,29860
Algemeen Dagblad,het,het,"pd(type=d-p,subtype=art-def)",1751,217,248,83680
Trouw,de,de,"pd(type=d-p,subtype=art-def)",1393,46,47,23970
Algemeen Dagblad,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",1258,200,248,83680
Het Parool,de,de,"pd(type=d-p,subtype=art-def)",1015,34,34,18841
NRC,van,van,adp(type=pre),982,41,53,35488
Algemeen Dagblad,op,op,adp(type=pre),890,207,248,83680
NRC,in,in,adp(type=pre),842,41,53,35488
NRC,een,een,"pd(type=indef,subtype=art-indef)",834,42,53,35488
De Volkskrant,van,van,adp(type=pre),829,52,57,29860
Algemeen Dagblad,te,te,adp(type=pre),821,184,248,83680
Algemeen Dagblad,voor,voor,adp(type=pre),810,192,248,83680
NRC,het,het,"pd(type=d-p,subtype=art-def)",798,43,53,35488
De Volkskrant,in,in,adp(type=pre),791,54,57,29860
Algemeen Dagblad,met,met,adp(type=pre),788,187,248,83680
De Volkskrant,een,een,"pd(type=indef,subtype=art-indef)",784,54,57,29860
Algemeen Dagblad,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",733,158,248,83680
Algemeen Dagblad,niet,niet,adv(),733,157,248,83680
NRC,en,en,conj(type=coor),694,42,53,35488
Trouw,van,van,adp(type=pre),680,46,47,23970
Algemeen Dagblad,dat,dat,conj(type=sub),663,159,248,83680
De Volkskrant,en,en,conj(type=coor),636,55,57,29860
De Volkskrant,het,het,"pd(type=d-p,subtype=art-def)",632,53,57,29860
Algemeen Dagblad,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",622,169,248,83680
Trouw,een,een,"pd(type=indef,subtype=art-indef)",621,46,47,23970
Trouw,in,in,adp(type=pre),599,46,47,23970
Algemeen Dagblad,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",583,100,248,83680
Algemeen Dagblad,ook,ook,adv(),546,168,248,83680
Trouw,en,en,conj(type=coor),532,42,47,23970
Algemeen Dagblad,om,om,adp(type=pre),521,168,248,83680
Het Parool,van,van,adp(type=pre),498,32,34,18841
Trouw,het,het,"pd(type=d-p,subtype=art-def)",492,44,47,23970
Het Parool,een,een,"pd(type=indef,subtype=art-indef)",490,33,34,18841
Algemeen Dagblad,maar,maar,conj(type=coor),489,146,248,83680
Algemeen Dagblad,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",488,96,248,83680
Het Parool,in,in,adp(type=pre),488,33,34,18841
Algemeen Dagblad,bij,bij,adp(type=pre),461,171,248,83680
NRC,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",457,39,53,35488
Algemeen Dagblad,die,die,"pd(type=rel,position=pron)",448,166,248,83680
Algemeen Dagblad,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",434,102,248,83680
