document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Het Nieuwsblad,de,de,"pd(type=d-p,subtype=art-def)",9121,933,954,142827
Het Nieuwsblad,een,een,"pd(type=indef,subtype=art-indef)",3528,798,954,142827
Het Nieuwsblad,van,van,adp(type=pre),3424,813,954,142827
Het Nieuwsblad,en,en,conj(type=coor),3174,772,954,142827
De Standaard,de,de,"pd(type=d-p,subtype=art-def)",3101,146,148,48749
Het Nieuwsblad,in,in,adp(type=pre),3056,799,954,142827
Het Nieuwsblad,het,het,"pd(type=d-p,subtype=art-def)",2900,769,954,142827
Het Nieuwsblad,op,op,adp(type=pre),2071,702,954,142827
Gazet van Antwerpen,de,de,"pd(type=d-p,subtype=art-def)",1938,225,229,28264
De Ware Tijd,de,de,"pd(type=d-p,subtype=art-def)",1849,76,76,28561
Het Nieuwsblad,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",1451,498,954,142827
Het Nieuwsblad,met,met,adp(type=pre),1424,560,954,142827
De Standaard,van,van,adp(type=pre),1396,138,148,48749
Het Nieuwsblad,voor,voor,adp(type=pre),1384,580,954,142827
De Standaard,een,een,"pd(type=indef,subtype=art-indef)",1188,134,148,48749
Het Nieuwsblad,te,te,adp(type=pre),1185,472,954,142827
De Standaard,in,in,adp(type=pre),1114,139,148,48749
Het Nieuwsblad,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",1064,283,954,142827
Het Nieuwsblad,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",1039,439,954,142827
Het Nieuwsblad,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",1028,194,954,142827
De Standaard,het,het,"pd(type=d-p,subtype=art-def)",999,136,148,48749
Het Nieuwsblad,niet,niet,adv(),991,380,954,142827
De Standaard,en,en,conj(type=coor),960,134,148,48749
De Ware Tijd,van,van,adp(type=pre),891,74,76,28561
Het Nieuwsblad,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",883,365,954,142827
Het Nieuwsblad,ook,ook,adv(),858,414,954,142827
Het Nieuwsblad,maar,maar,conj(type=coor),855,360,954,142827
Het Nieuwsblad,dat,dat,conj(type=sub),848,342,954,142827
Het Nieuwsblad,aan,aan,adp(type=pre),806,478,954,142827
Gazet van Antwerpen,van,van,adp(type=pre),805,198,229,28264
Het Nieuwsblad,om,om,adp(type=pre),798,422,954,142827
De Ware Tijd,en,en,conj(type=coor),735,70,76,28561
Gazet van Antwerpen,het,het,"pd(type=d-p,subtype=art-def)",684,197,229,28264
Gazet van Antwerpen,in,in,adp(type=pre),680,195,229,28264
Gazet van Antwerpen,een,een,"pd(type=indef,subtype=art-indef)",653,182,229,28264
Het Nieuwsblad,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",644,305,954,142827
De Ware Tijd,het,het,"pd(type=d-p,subtype=art-def)",644,74,76,28561
